"text-gray-900","text-gray-900 2","text-gray-900 3","text-gray-900 4","text-gray-400","text-gray-900 5","font-mono","font-mono 2","font-mono 3","text-gray-900 6","text-gray-400 2"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Öresundskraft AB","—","Retired","153","153","153","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","2.27","2.27","2.27","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","WasteX","Not Disclosed","—","Retired","0.06","0.06","0.06","","—"
"11/17/2025","Mineralization - Ex-situ","O.C.O. Technology","FundApps Ltd","—","Supercritical","291","0","0","Contracted",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Verora","Not Disclosed","—","Retired","9.99","9.99","9.99","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","RecyCoal GmbH","Not Disclosed","—","Retired","2","2","2","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Not Disclosed","—","Patch","75","75","75","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","RecyCoal GmbH","Not Disclosed","—","Retired","4.71","4.71","4.71","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","eoc energy ocean","Swiss Life","—","Retired","24.28","24.28","24.28","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Not Disclosed","—","Patch","110","110","110","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Not Disclosed","—","Patch","0.82","0.82","0.82","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Wongphai Co.,Ltd","Shopify","—","Planboo","43.68","43.68","43.68","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","WasteX","Not Disclosed","—","Retired","0.5","0.5","0.5","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","PyroCCS","Not Disclosed","—","atmosfair gGmbH","9.14","9.14","9.14","Retired",""
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","RecyCoal GmbH","Not Disclosed","—","Retired","4.25","4.25","4.25","","—"
"11/17/2025","BiCRS - Biochar Carbon Removal (BCR)","Carboneers","Zopeful Climate","—","Retired","10","10","10","","—"
"11/17/2025","Mineralization - Ex-situ","O.C.O. Technology","Markel International Services Limited","—","CUR8","150","150","150","Retired",""
